n_rows,n_features,pca_components,n_neighbors,explained_variance,orig_knn_accuracy,orig_knn_precision,orig_knn_recall,orig_knn_f1_score,orig_knn_fit_time,orig_knn_predict_time,orig_knn_total_time,orig_kdtree_accuracy,orig_kdtree_precision,orig_kdtree_recall,orig_kdtree_f1_score,orig_kdtree_fit_time,orig_kdtree_predict_time,orig_kdtree_total_time,pca_knn_accuracy,pca_knn_precision,pca_knn_recall,pca_knn_f1_score,pca_knn_fit_time,pca_knn_predict_time,pca_knn_total_time,pca_kdtree_accuracy,pca_kdtree_precision,pca_kdtree_recall,pca_kdtree_f1_score,pca_kdtree_fit_time,pca_kdtree_predict_time,pca_kdtree_total_time,pca_knn_accuracy_diff,pca_kdtree_accuracy_diff,pca_knn_time_improvement,pca_kdtree_time_improvement
5000,30,10,5,0.528011316918687,0.713,0.7042438376771696,0.713,0.7051455439287279,0.00301194190979,0.1305193901062011,0.1335313320159912,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0129377841949462,0.1750600337982177,0.187997817993164,0.68,0.6723336600538434,0.68,0.6686208153559681,0.0019922256469726,0.1335718631744384,0.1355640888214111,0.68,0.6723336600538434,0.68,0.6686208153559681,0.0065090656280517,0.1556215286254882,0.16213059425354,-0.0329999999999999,-0.0329999999999999,-0.015223069932205,0.1375932126008218
5000,30,15,5,0.7070136629683271,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0035216808319091,0.1356706619262695,0.1391923427581787,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0180592536926269,0.1788563728332519,0.1969156265258789,0.679,0.6737314688302344,0.679,0.6677758464695924,0.002002477645874,0.1415266990661621,0.1435291767120361,0.679,0.6737314688302344,0.679,0.6677758464695924,0.0085113048553466,0.1676220893859863,0.176133394241333,-0.0339999999999999,-0.0339999999999999,-0.0311571302553034,0.1055387662787375
5000,30,20,5,0.8639043122250443,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0015134811401367,0.1132466793060302,0.1147601604461669,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0155363082885742,0.162860631942749,0.1783969402313232,0.683,0.6735179746421844,0.683,0.6734303716866124,0.0025177001953125,0.1289954185485839,0.1315131187438964,0.683,0.6735179746421844,0.683,0.6734303716866124,0.0110414028167724,0.1653192043304443,0.1763606071472168,-0.0299999999999999,-0.0299999999999999,-0.1459823533933464,0.0114146188912544
5000,30,25,5,0.9741108499198086,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0029983520507812,0.1283481121063232,0.1313464641571045,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0140233039855957,0.165956974029541,0.1799802780151367,0.699,0.688276838485304,0.699,0.6898847160752274,0.0019960403442382,0.1523518562316894,0.1543478965759277,0.699,0.688276838485304,0.699,0.6898847160752274,0.012019395828247,0.1679112911224365,0.1799306869506836,-0.014,-0.014,-0.1751203016117057,0.0002755361031776
5000,40,3,5,0.2306317870904004,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0035254955291748,0.1529815196990966,0.1565070152282714,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0215678215026855,0.1900610923767089,0.2116289138793945,0.582,0.5814830840528432,0.582,0.5689973376738083,0.0055477619171142,0.1223094463348388,0.1278572082519531,0.582,0.5814830840528432,0.582,0.5689973376738083,0.0030145645141601,0.1544222831726074,0.1574368476867675,-0.127,-0.127,0.1830576535788604,0.2560711823314962
5000,40,5,5,0.3205084251450353,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0025115013122558,0.1139893531799316,0.1165008544921875,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0205342769622802,0.1614696979522705,0.1820039749145507,0.623,0.6207151856175123,0.623,0.6114758570289347,0.0019993782043457,0.1313228607177734,0.1333222389221191,0.623,0.6207151856175123,0.623,0.6114758570289347,0.0048165321350097,0.1586487293243408,0.1634652614593505,-0.0859999999999999,-0.0859999999999999,-0.1443885068762279,0.1018588383242945
5000,40,10,5,0.4780359247831382,0.709,0.7026218116459815,0.709,0.7020985349970665,0.003014326095581,0.1577544212341308,0.1607687473297119,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0186660289764404,0.1711466312408447,0.1898126602172851,0.67,0.6612198606910348,0.67,0.6594379022715441,0.0021247863769531,0.1579818725585937,0.1601066589355468,0.67,0.6612198606910348,0.67,0.6594379022715441,0.0070033073425292,0.1519758701324463,0.1589791774749755,-0.0389999999999999,-0.0389999999999999,0.0041182655532371,0.1624416554038777
5000,40,15,5,0.6158650564448024,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0030062198638916,0.1059162616729736,0.1089224815368652,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0169916152954101,0.1543784141540527,0.1713700294494629,0.674,0.6656684565813387,0.674,0.6636150079946275,0.0025055408477783,0.1213352680206298,0.1238408088684082,0.674,0.6656684565813387,0.674,0.6636150079946275,0.0080265998840332,0.1619694232940673,0.1699960231781005,-0.0349999999999999,-0.0349999999999999,-0.1369627933650575,0.0080177746119107
5000,40,20,5,0.7478048947148054,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0019981861114501,0.2041487693786621,0.2061469554901123,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0180635452270507,0.2096264362335205,0.2276899814605713,0.674,0.6644329443255612,0.674,0.6636730184498271,0.002509593963623,0.1450045108795166,0.1475141048431396,0.674,0.6644329443255612,0.674,0.6636730184498271,0.0100259780883789,0.159759521484375,0.1697854995727539,-0.0349999999999999,-0.0349999999999999,0.2844225882821002,0.2543128227090862
5000,40,25,5,0.8702627684203706,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0030043125152587,0.1415150165557861,0.1445193290710449,0.709,0.7026218116459815,0.709,0.7020985349970665,0.0188159942626953,0.1792471408843994,0.1980631351470947,0.674,0.6631958782219346,0.674,0.6638031736738031,0.002000093460083,0.1359755992889404,0.1379756927490234,0.674,0.6631958782219346,0.674,0.6638031736738031,0.0110301971435546,0.1590697765350341,0.1700999736785888,-0.0349999999999999,-0.0349999999999999,0.0452786237251673,0.1411830699728072
